id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
495875,AFG-2023-1-17083-49,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,3,"""AFF,2023-10-20,8 Taliban were killed in Mazar-i-Sharif"";""Afghan Analyst on Twitter (X),2023-10-20,Numerous sources have reported two explosions in PD7 of Mazar-e Sharif today evening, and the  @AfgFreedomAFF  claimed responsibility for attacking a Taliban checkpoint in the area."";""Tolo News,2023-10-20,Two explosions were heard in the 7th district of Mazar-e-Sharif, the capital of Balkh province. """,AFF;Afghan Analyst on Twitter (X);Tolo News,2023-10-20;2023-10-20;2023-10-20,"8 Taliban were killed in Mazar-i-Sharif;Numerous sources have reported two explosions in PD7 of Mazar-e Sharif today evening, and the  @AfgFreedomAFF  claimed responsibility for attacking a Taliban checkpoint in the area.;Two explosions were heard in the 7th district of Mazar-e-Sharif, the capital of Balkh province.",AFF; local sources,1,Mazari Sharif town,"post of Mazdoor Taliban on Karta Amani 2 area, 40 meters road, belonging to the 7th district of Mazar-e Sharif, Balkh province",Balkh province,Mazari Sharif district,36.700067,67.116647,POINT (67.116647 36.700067),182655,Afghanistan,700,Asia,1,1,2023-10-20 00:00:00.000,2023-10-20 00:00:00.000,0,0,0,0,0,3,0,700,
495862,AFG-2023-1-17083-46,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,2,"""Hasht e Subh Daily,2023-10-23,Afghanistan Freedom Front Claims Responsibility for Killing Four Taliban Fighters in Kapisa Province"";""AFF,2023-10-23,Four killed and two wounded in the center of Kapisa!""",Hasht e Subh Daily;AFF,2023-10-23;2023-10-23,Afghanistan Freedom Front Claims Responsibility for Killing Four Taliban Fighters in Kapisa Province;Four killed and two wounded in the center of Kapisa!,AFF;  Local residents,1,Rig-e Rawan village,“Rig-Rawan” area in central Kapisa.,Kapisa province,Mahmudi Raqi district,35.042290,69.359020,POINT (69.35902 35.04229),180499,Afghanistan,700,Asia,1,1,2023-10-22 00:00:00.000,2023-10-22 00:00:00.000,0,0,0,0,0,4,0,700,
493170,AZE-2023-1-833-18,2023,true,Check geography,1,388,388,Azerbaijan: Artsakh (Nagorno-Karabakh),833,833,Government of Azerbaijan - Republic of Artsakh,64,64,Government of Azerbaijan,338,338,Republic of Artsakh,3,"""Agence France Presse,2023-10-02,Armenia says one dead, two wounded in earlier cross-border fire"";""Agence France Presse,2023-10-02,Gunfire around Karabakh persists between Armenian, Azerbaijani forces"";""BBC Monitoring Caucasus,2023-10-03,BBCM South Caucasus Watchlist for 3 October""",Agence France Presse;Agence France Presse;BBC Monitoring Caucasus,2023-10-02;2023-10-02;2023-10-03,"Armenia says one dead, two wounded in earlier cross-border fire;Gunfire around Karabakh persists between Armenian, Azerbaijani forces;BBCM South Caucasus Watchlist for 3 October",Armenia's defence ministry,3,Vardenis municipality,near the eastern village of Kut,Geghark’unik’ province,Vardenis municipality,40.180556,45.720000,POINT (45.72 40.180556),187652,Armenia,371,Europe,1,1,2023-10-02 00:00:00.000,2023-10-02 00:00:00.000,0,1,0,0,1,1,1,373,
498012,AZE-2023-1-833-19,2023,true,Check dyad,1,388,388,Azerbaijan: Artsakh (Nagorno-Karabakh),833,833,Government of Azerbaijan - Republic of Artsakh,64,64,Government of Azerbaijan,338,338,Republic of Artsakh,2,"""Agence France Presse,2023-10-02,Armenia says one dead, two wounded in earlier cross-border fire"";""BBC Monitoring Caucasus,2023-10-03,BBCM South Caucasus Watchlist for 3 October""",Agence France Presse;BBC Monitoring Caucasus,2023-10-02;2023-10-03,"Armenia says one dead, two wounded in earlier cross-border fire;BBCM South Caucasus Watchlist for 3 October",Armenia's defence ministry,3,Vardenis municipality,Vardenis Municipality,Geghark’unik’ province,Vardenis municipality,40.180556,45.720000,POINT (45.72 40.180556),187652,Armenia,371,Europe,1,1,2023-10-02 00:00:00.000,2023-10-02 00:00:00.000,0,1,0,0,1,1,1,373,
498755,BNG-2023-2-5201-2,2023,false,Clear,2,5201,4591,Supporters of Awami League - Supporters of BNP,5201,5201,Supporters of Awami League - Supporters of BNP,372,372,Supporters of Awami League,374,374,Supporters of BNP,6,"""Press Trust of India,2023-10-29,Bangladesh police arrest senior Opposition leader after deadly violence ahead of general elections"";""Indo-Asian News Service,2023-10-29,Bangladesh violence: Opposition leader Fakhrul detained"";""Reuters News,2023-10-29,Opposition activists held over policeman's death in Bangladesh protest"";""Reuters News,2023-10-29,Opposition activists held over policeman's death in Bangladesh protest"";""Agence France Presse,2023-10-29,Bangladesh charges opposition leader, party members with murder"";""The New Nation (Bangladesh),2023-11-04,BNP leaders Khasru, Swapan on 6-day remand""",Press Trust of India;Indo-Asian News Service;Reuters News;Reuters News;Agence France Presse;The New Nation (Bangladesh),2023-10-29;2023-10-29;2023-10-29;2023-10-29;2023-10-29;2023-11-04,"Bangladesh police arrest senior Opposition leader after deadly violence ahead of general elections;Bangladesh violence: Opposition leader Fakhrul detained;Opposition activists held over policeman's death in Bangladesh protest;Opposition activists held over policeman's death in Bangladesh protest;Bangladesh charges opposition leader, party members with murder;BNP leaders Khasru, Swapan on 6-day remand",BNP officials; Press Trust of India,1,Dhaka city,in Dhaka.,Dhaka division,Dhaka district,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,Asia,1,1,2023-10-28 00:00:00.000,2023-10-28 00:00:00.000,0,1,0,1,2,2,2,,
498806,BNG-2023-1-12652-2,2023,false,Clear,1,11350,11350,Bangladesh: Government,12652,12652,Government of Bangladesh - Supporters of BNP,143,143,Government of Bangladesh,374,374,Supporters of BNP,3,"""Press Trust of India,2023-10-31,Bangladesh: 2 dead in clashes on first day of three-day transport blockade called by BNP"";""Press Trust of India,2023-10-31,Following are the top foreign stories at 2045 hours"";""The New Nation (Bangladesh),2023-11-04,3200 opposition men accused in 5 cases in Kishoreganj""",Press Trust of India;Press Trust of India;The New Nation (Bangladesh),2023-10-31;2023-10-31;2023-11-04,Bangladesh: 2 dead in clashes on first day of three-day transport blockade called by BNP;Following are the top foreign stories at 2045 hours;3200 opposition men accused in 5 cases in Kishoreganj,police,3,Kishorganj district,in Kishoreganj,Dhaka division,Kishorganj district,24.439441,90.782911,POINT (90.782911 24.439441),164702,Bangladesh,771,Asia,1,1,2023-10-31 00:00:00.000,2023-10-31 00:00:00.000,0,2,0,0,2,2,2,771,
498848,MYA-2023-2-16514-0,2023,false,Check dyad,2,16514,15116,ARSA - Munna Gang,16514,16514,ARSA - Munna Gang,6692,6692,ARSA,7878,7878,Munna Gang,1,"""SATP Bangladesh Timeline,2023-11-14,October - 9 """,SATP Bangladesh Timeline,2023-11-14,October - 9,daily star (SATP),1,Ukhiya sub-district,refugee camps in Ukhiya Upazila (Sub-District) in Cox’s Bazar District of Chittagong Division,Chittagong division,Cox’s Bāzār district,21.218459,92.160461,POINT (92.160461 21.218459),160385,Bangladesh,771,Asia,1,1,2023-10-09 00:00:00.000,2023-10-09 00:00:00.000,2,0,0,0,2,2,2,,
498846,MYA-2023-2-17386-7,2023,false,Clear,2,17386,15805,ARSA - RSO,17386,17386,ARSA - RSO,6692,6692,ARSA,187,187,RSO,1,"""SATP Bangladesh Timeline,2023-11-14,October - 4 """,SATP Bangladesh Timeline,2023-11-14,October - 4,"satp , the daily star",1,Ukhiya sub-district,"Ukhiya Upazila (Sub-District) of Cox's Bazar (Chittagong Division),",Chittagong division,Cox’s Bāzār district,21.218459,92.160461,POINT (92.160461 21.218459),160385,Bangladesh,771,Asia,1,1,2023-10-04 00:00:00.000,2023-10-04 00:00:00.000,1,1,0,0,2,2,2,,
497841,AFG-2023-3-973-382,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,2,"""Reuters News,2023-10-26,Belgium charges Tunisian man in relation to Brussels Islamist attack"";""Associated Press Newswires,2023-10-19,Deadly attack in Belgium ignites fierce debate on failures of deportation policy""",Reuters News;Associated Press Newswires,2023-10-26;2023-10-19,Belgium charges Tunisian man in relation to Brussels Islamist attack;Deadly attack in Belgium ignites fierce debate on failures of deportation policy,,1,Brussels city,Brussels,Brussels-Capital region,,50.833333,4.333333,POINT (4.333333 50.833333),202689,Belgium,211,Europe,1,1,2023-10-16 00:00:00.000,2023-10-16 00:00:00.000,0,0,2,0,2,2,2,,
496881,SWD-2023-2-17583-6,2023,false,Clear,2,17583,15966,Foxtrot - Foxtrot - Ismael Abdo (Jordgubben) faction,17583,17583,Foxtrot - Foxtrot - Ismael Abdo (Jordgubben) faction,8750,8750,Foxtrot,8752,8752,Foxtrot - Ismael Abdo (Jordgubben) faction,1,"""Aftonbladet,2023-11-01,Aftonbladet avslöjar: ”Hitman” gripen för mordet – jagade Foxtrot-medlemmar""",Aftonbladet,2023-11-01,Aftonbladet avslöjar: ”Hitman” gripen för mordet – jagade Foxtrot-medlemmar,local media,1,Sarajevo city,Sarajevo,Federacija Bosna i Hercegovina,Sarajevo canton,43.850000,18.383333,POINT (18.383333 43.85),192637,Bosnia-Herzegovina,346,Europe,1,1,2023-10-31 00:00:00.000,2023-10-31 00:00:00.000,1,0,0,0,1,1,1,,
496784,BRA-2023-2-2-XXX140-370,2023,false,Check,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,2,"""Portal da Tropical,2023-10-24,Corpo encontrado em cacimbão na Grande Natal pode ser de homem desaparecido há mais de um mês"";""Tribuna do Norte,2023-10-27,Polícia encontra corpo que pode ser de jovem desaparecido em Touros""",Portal da Tropical;Tribuna do Norte,2023-10-24;2023-10-27,Corpo encontrado em cacimbão na Grande Natal pode ser de homem desaparecido há mais de um mês;Polícia encontra corpo que pode ser de jovem desaparecido em Touros,Portal da Tropical; Tribuna do Norte,3,Ceará-Mirim municipality,"In the community of Aningas, a district of Ceará-Mirim, in Greater Natal.",Rio Grande do Norte state,Ceará-Mirim municipality,-5.550460,-35.376670,POINT (-35.37667 -5.55046),121250,Brazil,140,Americas,1,5,2023-09-17 00:00:00.000,2023-10-23 00:00:00.000,0,0,0,1,1,1,1,,
496602,BRA-2023-2-2-XXX140-364,2023,false,Check,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal da Tropical,2023-10-02,Homens são encontrados mortos no interior do RN; suspeitos teriam se passado por policiais""",Portal da Tropical,2023-10-02,Homens são encontrados mortos no interior do RN; suspeitos teriam se passado por policiais,Portal da Tropical,4,Rio Grande do Norte state,"Sítio Várzea Nova, between the municipalities of Encanto and Pau dos Ferros/RN.",Rio Grande do Norte state,,-5.750000,-36.000000,POINT (-36 -5.75),121249,Brazil,140,Americas,1,2,2023-10-01 00:00:00.000,2023-10-02 00:00:00.000,0,0,0,2,2,2,2,,
496604,BRA-2023-2-2-XXX140-365,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal da Tropical,2023-10-02,Empresário é surpreendido por criminosos e morto a tiros em Caicó""",Portal da Tropical,2023-10-02,Empresário é surpreendido por criminosos e morto a tiros em Caicó,Portal da Tropical,1,Caicó town,In the center of Caicó/RN.,Rio Grande do Norte state,Caicó municipality,-6.458330,-37.097780,POINT (-37.09778 -6.45833),120526,Brazil,140,Americas,1,1,2023-10-02 00:00:00.000,2023-10-02 00:00:00.000,0,0,0,1,1,1,1,,
